,SMILES,label,uniprot_id1,uniprot_id2,standard_type
3625,CC(C)(C)CCN1CCCC(Oc2ccc(C(F)(F)F)cc2)(C(=O)N2CCN(c3ccccn3)CC2)C1.Cl,-0.5980533947950155,P04637,Q00987,IC50
2779,COC1=C(Nc2ccccc2)C(=O)c2ccccc2C1=O,-3.1328793227076766,O00255,Q03164,Potency
3265,Cc1cc(Nc2ccccc2Cl)nc(-c2ccccc2O)n1,-0.09171965334803266,O00255,Q03164,Potency
4572,Cc1nc2ccccc2n2c(O)c(CC(=O)O)cc12,0.09085861747987857,Q16236,Q14145,AC50
1903,CNc1nc(SCC(=O)Nc2ccc(Cl)c(Cl)c2)nc(N2CCOCC2)n1,-1.0738424086685388,O00255,Q03164,Potency
4654,Cc1ccccc1[S+]([O-])CCCCN=C=S,-1.813280718528527,Q16236,Q14145,IC50
5072,CNc1ncc(-c2cc3c(n2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,1.5818674707646017,P04637,Q00987,IC50
4281,CN1CCN(c2ccc(-c3ccc(N)cc3)cc2Nc2ncnc(Cl)c2N)CC1,0.22992538027422207,P61964,Q03164,IC50
4779,CNC(=O)c1ccc(OC)c(-c2cc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)c1,0.4954294166891494,P04637,O15151,IC50
710,Nc1sc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1C(=S)NC1CCCC1,1.0592927464323634,P04637,Q00987,Ki
3001,Cc1cccc2c1CCN(C(=O)[C@H]1CCCC[C@H]1C(=O)O)[C@@H]2CN1Cc2ccccc2C1=O,0.20252769230556808,Q16236,Q14145,IC50
3535,C/C=C/c1ccccc1OCc1ccc(C(=O)O)o1,-0.5518252377596791,O00255,Q03164,Potency
3225,Cc1cccc(C(=O)N[C@@H]2C(=O)Nc3c(c(C)nn3C3CCCC3)[C@@H]2c2ccc(F)cc2)c1,0.4598164046656689,Q96GG9,P61081,IC50
2888,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCC2)C2CC2)C1=O,1.6915562086661204,P04637,Q00987,IC50
1781,O=C(Cc1cccc2ccccc12)Nc1ccc(N2CCOCC2)cc1,-0.39205635062033867,O00255,Q03164,Potency
4832,CCn1c(=S)[nH]c2scc(-c3cccs3)c2c1=O,0.04220417986678349,P37231,Q15596,EC50
447,C=CCNC(=O)/C(=C/c1ccco1)NC(=O)c1ccc(Br)o1,-0.8923295869384024,O00255,Q03164,Potency
3922,c1cc2c(cnc3cscc32)s1,-1.6897206434469294,P37231,Q9Y6Q9,EC50
1445,Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(N(C)C)cc2)cc1,0.322787577515569,P37231,Q9Y618,IC50
4135,O=C(O)c1cc(-c2ccc(Cl)s2)nc2ccccc12,-1.0976300624959803,P37231,Q15788,EC50
3335,CCCCN(CCCC)c1nc2ccccc2nc1/C(C#N)=C(/O)OCC,0.7887241668321497,O00255,Q03164,Potency
