SMILES,label,uniprot_id1,uniprot_id2,standard_type
CS(=O)(=O)NC(=O)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1,-0.20310862701199947,P10415,Q16611,EC50
Cc1cc(C(=O)N/N=C/c2cc([N+](=O)[O-])ccc2O)c2ccccc2n1,2.3613918691440765,O00255,Q03164,Potency
COc1ccc(NC(=O)CN(c2ccc(OC)cc2)S(=O)(=O)c2ccc(OC)c(OC)c2)cc1,-0.36311658328716,O00255,Q03164,Potency
CN1CCS/C1=C\C=C1/SC(=S)N(CC(=O)O)C1=O,-0.8276830987425111,P37231,Q15596,EC50
Cc1cc2nn(-c3cccc4ccccc34)nc2cc1N,-0.9756225506704347,Q00975,Q02410,IC50
Cc1ncc(CO)c(/C=N/Nc2ccc(C(F)(F)F)cn2)c1O,-0.23927528999483147,O00255,Q03164,Potency
CC(C)(C)c1ccc(-n2ncc3c2CCCC3NC(=O)CCN2CCCO2)cc1,0.5037724697591419,O00255,Q03164,Potency
Cc1ccc(C2=NOC(=O)/C2=C\C=C\c2ccccc2)cc1,-0.22102371859277192,Q8WTS1,O60240,IC50
COc1ccc(Cl)cc1-c1nnc(S)o1,0.06876496656481167,P37231,Q15788,EC50
COCCOC1=C(C(=O)c2ccccc2)C(c2ccc(Br)cc2)N(CCCn2ccnc2)C1=O,-0.08503379354095264,P04637,O15151,Ki
O/C(=C(\C([S-])=Nc1cccc2ccccc12)[n+]1ccccc1)c1ccc2c(c1)OCCO2,-0.36311658328716,O00255,Q03164,Potency
COc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(N(CC(N)=O)S(=O)(=O)c3ccc(NC(=O)CCN4CCOCC4)cc3)c3ccccc23)cc1,0.3308206325070342,Q16236,Q14145,Kd
CCCC1O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)C4C(OC(C)=O)C[C@]3(C)[C@]2(C(=O)COC(C)=O)O1,-0.20310862701199947,P37231,Q15596,EC50
COc1c(C)ccc2c1C1=C(C(c3ccc(Br)cc3)O2)C(c2ccc(Br)cc2)n2ncnc2N1C,-0.534135267172715,P04637,Q00987,IC50
O=C(O)[C@H](c1ccc(O)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,-0.928655818383443,P04637,Q00987,IC50
Cc1cc(O)c(/C=N/c2ccc(Cl)cn2)c(=O)o1,1.7421854026824317,O00255,Q03164,Potency
COc1ccc(OC)c(C(c2nnnn2C2CCCC2)N2CCc3ccccc3C2)c1,-0.9823230497488048,O00255,Q03164,Potency
CCn1nc(-c2ccccc2)c2nc3ccccc3nc21,-1.0058264161504098,Q16236,Q14145,AC50
CC(=O)c1cccc(NC(=O)COC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)c1,0.008407296589825591,O00255,Q03164,Potency
COc1ccccc1CNC(=O)CCOC(=O)c1cc(-c2ccco2)nc2ccccc12,-1.0163270519858274,Q00975,Q02410,IC50
CC[C@@H](C(=O)OC(C)(C)C)N1C(=O)[C@@H](CC(=O)O)CC(c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.0251602447554014,P04637,Q00987,IC50
Cc1cccc(C(=O)N[C@@H]2C(=O)Nc3c(c(C)nn3C3CC3)[C@@H]2c2ccc(F)cc2)c1,-0.352530568996348,Q96GG9,P61081,IC50
N#Cc1ccc(-c2ccc3c(c2)OCO3)nc1SCC(=O)OCc1ccccc1,-0.47498222058880996,P37231,Q9Y6Q9,EC50
CC(C)[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.5511876463697056,P04637,Q00987,IC50
O=C1C=CC(=O)N1c1ccc(N2CCCCC2)cc1,-0.6218065007750994,Q00975,Q02410,IC50
Cc1cc(C(=O)N2CCN(c3ccccc3)CC2)c(C)o1,-0.7346404631641478,O00255,Q03164,Potency
Cc1ccc(OCCCc2c(C)n[nH]c2C)cc1,0.5037724697591419,O00255,Q03164,Potency
CCN1CCN(CCCNC(=O)CNC(=O)c2nn(-c3ccc(OC)cc3OC)c(=O)c3ccccc23)CC1,-0.7346404631641478,O00255,Q03164,Potency
Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(Br)n2)cc1,-0.8129872288194399,P37231,Q15788,EC50
COc1ccc(C(=O)N(C)C)cc1-c1cc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,2.4153755204503478,P04637,Q00987,IC50
COc1nc(N(C)C)ncc1-c1cc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1c[nH]c(=O)c(Cl)c1)C2=O,2.114788433813603,P04637,Q00987,IC50
