SMILES,label,uniprot_id1,uniprot_id2,standard_type
CC1(C)[C@]2(C)CC[C@@H](CS(=O)(=O)NC(=O)c3ccc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)cc3)[C@@]1(C)C2,6.24,Q07817,Q16611,EC50
COc1ccccc1OCC(=O)Nc1nnc(-c2ccco2)s1,4.37,P37231,Q15788,EC50
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,4.6,P63096,O14924,Potency
O=C(O)Cn1cc(-c2cc(O)c(C(=O)c3[nH]c(Cl)c(Cl)c3-n3c(C(=O)c4cc(Cl)c(-c5cn(CC(=O)O)nn5)cc4O)cc(Cl)c3Cl)cc2Cl)nn1,5.28,Q07820,O43521,IC50
COc1ccccc1/C=C/C(=O)c1ccc(OCCCN2CCN(C)CC2)cc1.Cl.Cl,5.48,Q16236,Q14145,EC50
CCc1ccc(/C=C2\SC(SC)=NC2=O)cc1,4.75,P01106,P61244,IC50
C[S+]([O-])CCCCN=C=S,6.06,Q16236,Q14145,EC50
CC[C@@H](CN1CCN(S(C)(=O)=O)CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,7.9,P04637,Q00987,IC50
COC(=O)c1c(N(S(C)(=O)=O)S(C)(=O)=O)sc2c1CCN(c1ncc(C(F)(F)F)cc1Cl)C2,4.55,O00255,Q03164,Potency
COC(CNc1ncnc2sc(-c3ccccc3)cc12)OC,4.65,O00255,Q03164,Potency
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@H]1CCCN(C(=O)/C=C/CCCCOCCOCCOCCOCCOc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,8.0,Q06187,Q96SW2,EC50
Cn1c(Cc2nn(C)c(=O)c3ccccc23)nnc1SCCCCCCCCCCC(=O)NC12CC3CC(CC(C3)C1)C2,5.42,P40933,Q13261,IC50
O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2cc3c(cc2Cl)OCCO3)c2ccccc12)S(=O)(=O)c1cc2c(cc1Cl)OCCO2,7.445,Q16236,Q14145,IC50
