SMILES,label,uniprot_id1,uniprot_id2,standard_type
CCOC(=O)c1ccc(NC(=O)COc2ccccc2CNCCO)cc1,-1.031970532811628,P00519,Q13671,IC50
O=C(O)[C@H](c1ccc(Cl)nc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1c[nH]c2ccccc12,-1.2447526925833035,P04637,Q00987,IC50
CC(Oc1ccc(Cl)cc1Cl)c1nc(-c2ccc(NC(=O)c3cccnc3)cc2)no1,0.28069703644122823,O00255,Q03164,Potency
Nc1nc(O)cc(NC2CCCC2)n1,-0.837963269490394,P00519,Q13671,IC50
COc1ncc(-c2cc3c(n2C(C)C)[C@@](C)(c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,0.7015782394458475,P04637,Q00987,IC50
CC[C@@H](c1cc(C)ccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.4212826033794559,P04637,Q00987,IC50
COc1ccc(/C=C/C(=O)c2ccncc2)c2ccccc12,-0.8463658291141246,O00255,Q03164,Potency
CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3C(C)C)C2=O)C(=O)c2cc(O)c(O)c(C(C)C)c2C1=O,0.8455191122325689,Q07820,P55957,IC50
CN(C)c1ccc(C=c2c3cc(O)ccc3n3c2cc(-c2ccccc2)[n+]3C)cc1.O=S(=O)([O-])C(F)(F)F,-1.0723648529546668,P13569,Q9HD26,AC50
O=C1Cc2cc(Nc3cc(OC4CCOCC4)c([N+](=O)[O-])cc3Cl)ccc2N1,0.4011798962387757,P41182,Q6W2J9,IC50
COc1ncc(-c2cc3c(n2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,1.6841311536856434,P04637,Q00987,IC50
O=C(NCCc1cccnc1)c1cc(-c2ccco2)nc2ccccc12.O=C(O)C(F)(F)F,-1.0695203257125117,Q00975,Q02410,IC50
Cn1c(S)nnc1-c1sc2cc(C(F)(F)F)cnc2c1-c1cccnc1,-0.21641266227659092,P37231,Q15596,EC50
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOCC(F)(F)c2cnc(-c3ccc(C(C(=O)NO)c4ccccc4F)cc3)nc2)C(C)(C)C)cc1,1.3461699362153163,P56524,P40337,EC50
CN1CCS/C1=C\C=C1/SC(=S)N(CC(=O)O)C1=O,-0.9554719994011414,P37231,Q15788,EC50
Cc1cccc(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)c1,-1.1258450150638375,P03433,P03431,IC50
N#Cc1ccc(-c2ccc3c(c2)OCO3)nc1SCC(=O)OCc1ccccc1,-0.1882580208623223,P37231,Q15596,EC50
CCOc1ccc(C(=O)/C=C/c2cn(CN3CCN(C)CC3)c3ccccc23)cc1,-0.9715950363980522,O00255,Q03164,Potency
CNc1ncc(-c2cc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,2.1660201625803217,P04637,Q00987,IC50
COc1cccc(C(=O)N[C@@H](CC(C)C)C(=O)O)c1,-0.6752475002532304,Q99523,P28799,IC50
Br.COc1ccc(Nc2nc(-c3sc(C)nc3C)cs2)cc1,-0.721136621830197,O00255,Q03164,Potency
COc1ccc(O)c(C(=O)/C=C/c2cc3ccccc3o2)c1,-0.5813730180010204,Q8WTS1,O60240,IC50
CC[C@@H](c1cccnc1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.609031567883876,P04637,Q00987,IC50
CC(C)(C)c1ccc2c(c1)C(OCC1(CO)CC1)(c1ccc(Cl)cc1)N(Cc1ccc([N+](=O)[O-])cc1)C2=O,-0.0744508138390874,P04637,Q00987,IC50
Cc1ccccc1S(=O)(=O)CCCCN=C=S,-1.0945535209797677,Q16236,Q14145,IC50
CCOC(=O)CCCCC(=O)c1[nH]c(O)nc1CSc1nc(C)cc(O)n1,0.2947888163529379,P00519,Q13671,IC50
CC[C@@H](C(O)C(F)(F)F)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.0958510649051287,P04637,Q00987,IC50
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1,1.6582183165644364,O00255,Q03164,Potency
c1ccc(-c2nnsc2-c2nc3ccccc3[nH]2)cc1,-0.3079152468729638,P37231,Q15788,EC50
COc1cc2c(C(=O)N3CCN(c4cccc(Cl)c4)CC3)cn(C)c(=O)c2cc1OC,-0.9756458434603016,P00519,Q13671,IC50
CCOC(=O)[C@H](CC)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)C1c1ccc(Cl)cc1,1.0958510649051287,P04637,Q00987,IC50
CCOc1ccc(-n2nc3c(SCCN4CCCC4)nnc(C)c3c2C)cc1,-0.9715950363980522,O00255,Q03164,Potency
COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2ccc(O)c(OC)c2)cc1,0.6563846582930111,O00255,Q03164,Potency
CC(=O)Nc1cc2c(nc1C)nc(C)n2Cc1ccc(Br)cc1,-0.9005462576585342,P00519,Q13671,IC50
CCOC(=O)c1cc(-c2ccccc2)n(CCCC(=O)O)c1C,0.15546782915729843,O00255,Q03164,Potency
CC[C@@H]1CC[C@@H](C(=O)N2CCN(C(C)=O)CC2)N1C(=O)C1=C(C(C)C)N2C(=N[C@@](C)(c3ccc(Cl)cc3)[C@H]2c2ccc(Cl)cc2)S1,0.7015782394458475,P04637,Q00987,IC50
CCN(Cc1ccccc1)Cc1nnnn1Cc1ccccc1,1.2825306947126514,O00255,Q03164,Potency
CCC(CC)N1C(=O)[C@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cn1,-0.13077550319041323,P04637,Q00987,IC50
O=[N+]([O-])c1c(Nc2cc(F)cc(F)c2)ccc2nonc12,-0.3435576629620888,P27540,Q99814,IC50
COc1ccc(CC(=O)Nc2cccc(-c3nnc(-c4ccccc4)o3)c2)cc1OC,0.40592624372515584,O00255,Q03164,Potency
CCN(CC)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,1.0958510649051287,P04637,Q00987,IC50
Cc1ccc(C(=O)C2=C(O)C(=O)N(CC(C)O)C2c2ccc(Cl)c(C(F)(F)F)c2)cc1,-0.7065389943373003,P07355,P60903,IC50
CC(=O)Nc1ccc(OC(=O)c2cc3cc(Br)ccc3oc2=O)cc1,-0.3435576629620888,Q00975,Q02410,IC50
