uniprot_id,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
A0A024AXB9,0.113,0.076,0.811,0.255,0.501,0.408,0.047,0.107,0.076,0.113,0.811,0.567,0.216,0.302,0.153,0.059,0.223,0.475,0.525
A0A045ISB3,0.119,0.092,0.789,0.205,0.538,0.446,0.069,0.119,0.092,0.119,0.789,0.524,0.234,0.323,0.11,0.031,0.205,0.502,0.498
A0A059UE90,0.155,0.132,0.713,0.205,0.465,0.384,0.044,0.08,0.132,0.155,0.713,0.496,0.242,0.335,0.113,0.047,0.183,0.456,0.544
A0A060INS8,0.152,0.144,0.704,0.232,0.464,0.416,0.04,0.104,0.144,0.152,0.704,0.416,0.2,0.36,0.088,0.048,0.296,0.528,0.472
A0A072ZLE6,0.158,0.201,0.641,0.215,0.359,0.316,0.038,0.033,0.201,0.158,0.641,0.368,0.263,0.435,0.153,0.033,0.215,0.459,0.541
A0A0C5PRQ1,0.168,0.168,0.663,0.188,0.426,0.287,0.04,0.109,0.168,0.168,0.663,0.455,0.257,0.337,0.099,0.089,0.198,0.426,0.574
A0A0C7ACN7,0.122,0.098,0.78,0.306,0.427,0.349,0.071,0.075,0.098,0.122,0.78,0.51,0.239,0.38,0.153,0.11,0.31,0.58,0.42
A0A0D9R315,0.174,0.174,0.652,0.24,0.352,0.304,0.022,0.048,0.174,0.174,0.652,0.397,0.256,0.409,0.137,0.03,0.16,0.396,0.604
A0A0E7NXW5,0.15,0.123,0.727,0.211,0.468,0.38,0.043,0.082,0.123,0.15,0.727,0.48,0.241,0.336,0.102,0.064,0.227,0.448,0.552
A0A0G2K344,0.121,0.106,0.773,0.21,0.516,0.422,0.054,0.097,0.106,0.121,0.773,0.531,0.223,0.328,0.124,0.046,0.231,0.488,0.512
A0A0H2UPP7,0.086,0.066,0.848,0.238,0.573,0.474,0.064,0.109,0.066,0.086,0.848,0.591,0.187,0.32,0.156,0.045,0.259,0.522,0.478
A0A0H2UQD0,0.153,0.119,0.728,0.214,0.476,0.407,0.053,0.076,0.119,0.153,0.728,0.479,0.245,0.366,0.108,0.033,0.199,0.464,0.536
A0A0H4FQ60,0.135,0.125,0.741,0.238,0.473,0.386,0.05,0.12,0.125,0.135,0.741,0.477,0.214,0.372,0.128,0.03,0.213,0.481,0.519
A0A0S4TER9,0.119,0.134,0.746,0.215,0.495,0.403,0.048,0.1,0.134,0.119,0.746,0.501,0.204,0.351,0.117,0.054,0.249,0.534,0.466
A0A0T9WNE5,0.133,0.123,0.744,0.214,0.499,0.421,0.06,0.106,0.123,0.133,0.744,0.477,0.223,0.358,0.1,0.028,0.235,0.469,0.531
A0A0Y9T855,0.077,0.049,0.874,0.175,0.665,0.521,0.036,0.134,0.049,0.077,0.874,0.603,0.147,0.291,0.116,0.046,0.255,0.461,0.539
A0A113T0T6,0.151,0.097,0.753,0.241,0.484,0.351,0.037,0.135,0.097,0.151,0.753,0.525,0.215,0.323,0.159,0.054,0.185,0.447,0.553
A0A143MHK7,0.139,0.108,0.753,0.194,0.506,0.406,0.063,0.096,0.108,0.139,0.753,0.524,0.255,0.308,0.114,0.055,0.186,0.455,0.545
A0A173Z7B1,0.153,0.102,0.744,0.27,0.443,0.364,0.045,0.094,0.102,0.153,0.744,0.477,0.23,0.352,0.136,0.088,0.321,0.545,0.455
A0A1D5QZY8,0.098,0.061,0.84,0.175,0.629,0.521,0.067,0.117,0.061,0.098,0.84,0.65,0.202,0.209,0.086,0.055,0.218,0.479,0.521
A0A1D8D5K2,0.113,0.047,0.84,0.257,0.533,0.429,0.045,0.111,0.047,0.113,0.84,0.575,0.208,0.295,0.165,0.052,0.248,0.521,0.479
A0A1U8CD06,0.257,0.1,0.644,0.299,0.326,0.241,0.034,0.092,0.1,0.257,0.644,0.41,0.31,0.337,0.138,0.115,0.264,0.444,0.556
A0A286XTF2,0.169,0.142,0.689,0.193,0.459,0.389,0.047,0.076,0.142,0.169,0.689,0.459,0.253,0.351,0.104,0.044,0.226,0.488,0.512
A0A2J8P2M1,0.133,0.128,0.739,0.194,0.431,0.336,0.028,0.161,0.128,0.133,0.739,0.436,0.275,0.284,0.081,0.019,0.142,0.431,0.569
A0A2S9PM60,0.1,0.135,0.766,0.242,0.503,0.445,0.067,0.063,0.135,0.1,0.766,0.503,0.187,0.41,0.147,0.046,0.289,0.553,0.447
